Date,b&h,without_pca,with_pca,with_pca_and_dwt,with_pca_dwt_mooga
2016-11-29,130625.78173371698,109264.3989615151,174783.28098051157,122143.17557474859,115051.41331719665
2016-11-30,130294.17767269448,109566.97153859593,174339.7444202918,121833.18384066044,114759.4856175611
2016-12-01,130073.10993417393,109768.68509767401,174461.3964416998,121918.17239882637,114564.86859094525
2016-12-02,130143.45663859427,109718.40942356962,174367.16744171263,121852.34211706338,114626.79832586781
2016-12-05,130545.3896180351,109269.70266279917,173828.78056166397,121476.21417326758,114980.64010251562
2016-12-06,130354.46608633458,109430.72474644154,174084.52151803713,121654.87996849706,114812.56053423842
2016-12-07,129409.9220513726,110227.33921950772,175349.73273996578,122538.7820712533,113981.0310092962
2016-12-08,133147.9570246616,107074.7357935918,170342.65671056992,119040.73767017935,117271.81082527534
2016-12-09,133218.28839632162,107015.41935465287,170248.44824872573,118974.92173677767,117333.72706199937
2016-12-12,134082.4581016037,106286.5914028245,169090.89797229244,118166.23374409153,118094.49903017086
2016-12-13,135278.22941466662,105278.09555805255,167489.1692776546,117047.23374101122,119147.19653826614
2016-12-14,137247.72247979115,103617.05422783566,164851.04481201604,115204.18672870599,120881.04014131837
2016-12-15,136685.01017546986,104091.63746504048,164011.55626588696,114617.29368185825,120385.65625473204
2016-12-16,136544.33209938955,104210.28327434168,164016.4084211825,114620.68429725911,120261.81028308545
2016-12-19,135810.79751216786,104828.93549916775,164897.64890291286,113891.14291835667,119616.04296651382
2016-12-20,136142.3991199487,104979.81352032995,164499.2753760555,114169.19796301339,119907.96850643762
2016-12-21,137820.4930748927,106272.66411596771,162483.27728816072,112646.19559258444,121385.27884614999
2016-12-22,137539.13692273205,106055.8994539918,162821.28784061054,112882.39244016676,121137.58690285681
2016-12-23,136132.34082916848,107035.04059839963,160994.57973606774,111616.01502887598,119899.11368819239
2016-12-27,135750.50909852778,107329.58589256118,160542.91885624372,111302.89815248482,119562.96804983652
2016-12-28,135961.5185462681,107166.81304036462,160792.51758041905,111475.93411011624,119748.73025820713
2016-12-29,135770.6103473279,107314.07977359377,160566.69620891003,111319.38195865069,119580.66418812846
2016-12-30,135800.75455414795,107290.82650899426,160602.3531695065,111344.10138116947,119607.20164646712
2017-01-03,134775.80552398541,108081.47298848737,159389.96209880838,110503.60329515094,118704.88756835708
